algorithm,dataset,n_features,n_jobs,n_neighbors,n_samples,n_threads,time_construction_mean,time_construction_std,time_querying_mean,time_querying_std
brute,covertype,5,1,10,10000,8,0.0001911322275797526,9.227370568358569e-05,1.3805927435557048,0.014017195738416498
brute,covertype,5,1,10,50000,8,0.00025121370951334637,8.94696404524326e-06,6.355835040410359,1.5721173450905006
brute,covertype,5,1,10,100000,8,0.00035993258158365887,6.642523986170089e-06,10.067983865737915,1.7846385143342178
brute,covertype,5,1,100,10000,8,0.00013724962870279947,3.6175431177587646e-06,1.0721557140350342,0.29984173523167207
brute,covertype,5,1,100,50000,8,0.000257412592569987,5.844362993510639e-06,6.000333706537883,1.2867866093751763
brute,covertype,5,1,100,100000,8,0.0003674825032552083,1.145788086108206e-05,12.068476438522339,1.921069018705703
brute,covertype,6,1,10,10000,8,0.0001426537831624349,5.0812935394114745e-06,1.0948206583658855,0.2992515160016994
brute,covertype,6,1,10,50000,8,0.00028014183044433594,1.2268715219753844e-05,6.843585729598999,0.7632577409420427
brute,covertype,6,1,10,100000,8,0.00041492780049641925,1.613553501602468e-05,14.1589146455129,0.3797103682112143
brute,covertype,6,1,100,10000,8,0.00015123685201009115,9.01658032969337e-06,1.5688873926798503,0.048124759809791896
brute,covertype,6,1,100,50000,8,0.00028832753499348957,2.700370361667642e-05,7.022125005722046,0.45965710568517243
brute,covertype,6,1,100,100000,8,0.00041254361470540363,1.3380265530617444e-05,12.62779982884725,2.6347485231983496
brute,covertype,7,1,10,10000,8,0.0001452763875325521,1.4349198409134378e-06,1.4469780921936035,0.03287445876601738
brute,covertype,7,1,10,50000,8,0.0002898375193277995,9.360944831674315e-06,6.1956353187561035,1.203615006696795
brute,covertype,7,1,10,100000,8,0.00046022733052571613,1.1457880861082062e-05,12.622108777364096,2.2769972913737146
brute,covertype,7,1,100,10000,8,0.00016164779663085938,1.5245123545434358e-05,1.5265129407246907,0.07307305131354007
brute,covertype,7,1,100,50000,8,0.00029969215393066406,1.790945182927866e-05,6.087355454762776,1.2628161282708443
brute,covertype,7,1,100,100000,8,0.0004562536875406901,1.2535064483365505e-05,14.024590333302816,0.058914582734199195
brute,covertype,8,1,10,10000,8,0.0001513957977294922,7.018852922382233e-07,1.3606589635213215,0.1466774618579596
brute,covertype,8,1,10,50000,8,0.00030795733133951825,9.644089647402696e-06,6.826441844304402,0.15735143937830376
brute,covertype,8,1,10,100000,8,0.0005163351694742838,1.1860908301857445e-05,14.1446004708608,0.5784611195421674
brute,covertype,8,1,100,10000,8,0.00016387303670247397,7.3622929751195674e-06,1.5444631576538086,0.029114365855347896
brute,covertype,8,1,100,50000,8,0.0003311634063720703,9.155604568427194e-06,6.881949345270793,0.15311198502869147
brute,covertype,8,1,100,100000,8,0.0005375544230143229,4.434172521061436e-05,12.913939714431763,1.9351654339924882
brute,covertype,9,1,10,10000,8,0.00016887982686360678,5.275226203688331e-06,1.4790523052215576,0.01583514988800738
brute,covertype,9,1,10,50000,8,0.00033919016520182293,3.919228873551036e-06,5.937492291132609,1.3677281041677862
brute,covertype,9,1,10,100000,8,0.0005525747934977213,1.3408557637617358e-05,14.108076413472494,0.14766166696820987
brute,covertype,9,1,100,10000,8,0.00017635027567545572,1.2422703661911314e-05,1.427111069361369,0.07141540842792315
brute,covertype,9,1,100,50000,8,0.00036398569742838543,2.508750616338189e-05,6.197329759597778,1.3473145930554187
brute,covertype,9,1,100,100000,8,0.0005692640940348307,3.103249810437589e-05,12.598986387252808,2.0638995405479004
brute,covertype,10,1,10,10000,8,0.0001678466796875,1.1841189404925775e-06,1.486792802810669,0.01810575498685233
brute,covertype,10,1,10,50000,8,0.000352780024210612,1.8708728166370365e-05,7.088942448298137,0.16447845434233557
brute,covertype,10,1,10,100000,8,0.0006221930185953776,1.1074422520380365e-05,13.590495665868124,0.5926607670186923
brute,covertype,10,1,100,10000,8,0.00017913182576497397,8.26212019498636e-06,1.4919873078664143,0.09401076975630022
brute,covertype,10,1,100,50000,8,0.00039847691853841144,1.7219404886604894e-05,6.874557733535767,0.3891773519360661
brute,covertype,10,1,100,100000,8,0.0006457964579264323,3.753828831763263e-05,14.024812777837118,0.13815896257477617
brute,covertype,15,1,10,10000,8,0.0002009868621826172,4.897746702235732e-06,1.4580965042114258,0.052261482443671264
brute,covertype,15,1,10,50000,8,0.0004787445068359375,1.112847077955519e-05,7.256258090337117,0.08673093141612508
brute,covertype,15,1,10,100000,8,0.000896453857421875,3.2706533777446656e-05,14.096705277760824,0.1118009448366088
brute,covertype,15,1,100,10000,8,0.00021084149678548178,8.991327682324059e-06,1.5268499851226807,0.05430656489165829
brute,covertype,15,1,100,50000,8,0.000499725341796875,1.5746459699591034e-05,7.073725541432698,0.12611148206383405
brute,covertype,15,1,100,100000,8,0.0009161631266276041,1.4702693834540116e-05,14.202905813852945,0.10110649037222487
